/******************************************************************************************************/

													TODO
	Created:	2019-05-25 13:52
	Author:		Dominik Kala (slavek1250)
	Project:	Discharger
		
										Copyright Silesian Greenpower 2019

/******************************************************************************************************/

//	Alpha

	id		|		Date			|					Description					|	Status		
--------------------------------------------------------------------------------------------------------
	1		|		2019-08-24		|					WgtNewSpeedway				|	Done.
	2		|		2019-08-24		|					ApiHolder					|	In progress.
	3		|		2019-08-25		|					WgtImport					|	Done.
	4		|		2019-08-25		|					WgtNewRace					|	Done.
	5		|		2019-08-26		|					WgtLogin					|	Done.
	7		|		2019-08-26		|					BasicData					|	Done.
	8		|						|				Widgets managing				|	
	9		|						|					WgtLoader					|	
	10		|						|					WgtConfigSim				|	
	11		|						|					UartHolder					|	
	12		|						|				WebsocketHolder					|	
	13		|						|					WgtSimulation				|	
